"stfdem","male","agea","eduyrs","mbtru","hinctnta","ppltrst","clsprty","age15"
8,1,68,8,0,1,3,0,53
4,0,49,15,1,5,2,1,34
9,0,61,11,0,6,5,1,46
0,1,56,11,1,3,5,0,41
4,0,53,14,0,5,1,0,38
5,0,68,11,1,9,6,1,53
7,0,42,20,1,10,4,0,27
8,1,64,15,1,,7,1,49
5,0,69,11,1,2,7,0,54
4,0,45,10,0,1,6,0,30
2,0,76,10,1,,5,1,61
8,1,41,12,1,9,5,1,26
8,1,48,14,1,6,4,0,33
4,0,55,11,1,,6,1,40
2,1,74,11,1,3,5,1,59
10,1,47,16,0,10,7,1,32
2,0,36,16,1,10,6,1,21
,0,82,9,0,2,6,0,67
2,0,43,11,0,,0,1,28
4,1,52,17,1,2,4,0,37
8,1,44,20,0,10,6,1,29
2,0,50,11,1,3,7,1,35
5,0,40,13,1,3,5,1,25
5,1,52,11,0,,8,0,37
7,1,46,13,0,8,3,1,31
6,0,58,13,1,6,3,0,43
1,1,18,13,0,,7,1,3
5,0,64,14,1,2,3,0,49
6,0,38,11,0,5,8,0,23
5,1,45,18,1,8,7,1,30
6,0,50,13,1,5,6,1,35
10,0,39,24,0,,7,0,24
7,0,62,11,0,,4,1,47
5,0,76,10,0,1,4,0,61
7,1,69,13,1,4,7,1,54
,0,39,10,0,1,3,0,24
9,1,63,10,1,6,5,1,48
9,1,16,11,0,,3,1,1
3,0,38,13,0,7,6,1,23
5,1,77,9,1,1,4,1,62
5,1,27,11,1,2,5,1,12
2,0,67,10,0,1,4,0,52
5,0,41,19,0,7,3,0,26
1,0,70,10,1,6,3,1,55
5,0,35,11,0,4,7,0,20
1,0,53,11,1,4,2,1,38
6,1,74,11,0,1,6,1,59
4,1,49,11,0,3,7,0,34
2,0,20,12,0,,5,0,5
3,0,72,10,1,2,4,0,57
0,0,58,11,1,1,7,1,43
2,1,69,12,1,4,2,1,54
5,1,68,14,0,4,10,0,53
7,1,74,9,1,10,6,1,59
6,1,40,15,0,10,5,1,25
8,0,60,19,1,3,6,1,45
0,0,62,11,0,1,10,1,47
5,0,57,16,1,8,5,0,42
2,0,28,9,0,1,5,0,13
3,0,28,14,0,5,6,0,13
8,0,38,13,0,7,3,1,23
4,1,45,13,0,3,7,0,30
5,0,81,9,1,2,8,1,66
6,0,26,13,0,10,7,0,11
7,0,53,16,0,9,7,0,38
5,0,27,20,0,5,4,0,12
1,1,32,14,1,5,3,1,17
7,0,59,19,0,6,7,1,44
3,1,61,16,0,4,7,0,46
9,0,32,13,0,9,6,0,17
4,0,40,10,0,1,4,0,25
7,0,48,13,0,1,5,1,33
7,1,38,16,0,5,8,0,23
7,0,29,17,1,10,5,0,14
7,0,43,17,0,5,8,1,28
9,1,64,11,1,,6,,49
1,0,48,11,0,2,6,1,33
4,1,18,12,0,7,1,1,3
10,0,65,10,1,,10,1,50
8,1,67,11,1,5,5,1,52
8,0,80,10,1,2,6,1,65
4,1,75,18,0,1,5,1,60
6,1,17,12,0,10,8,0,2
0,0,63,15,1,6,1,0,48
5,1,18,13,0,6,8,1,3
8,1,82,15,1,,8,1,67
4,0,50,8,0,1,0,0,35
8,0,50,16,1,8,8,1,35
5,1,54,14,1,6,3,1,39
9,1,39,18,0,9,5,1,24
2,1,52,11,1,10,7,0,37
3,1,31,10,0,3,5,0,16
0,0,51,11,0,1,3,0,36
4,0,41,13,0,3,5,1,26
2,1,73,10,1,,2,0,58
5,1,42,17,0,6,6,1,27
8,0,44,21,0,6,8,0,29
2,0,18,12,0,,3,0,3
7,0,77,19,1,9,7,1,62
5,0,72,13,0,5,2,1,57
5,1,73,8,1,2,5,0,58
1,1,43,18,1,5,4,0,28
7,1,73,12,1,2,4,0,58
4,0,34,18,1,9,5,1,19
10,1,38,17,0,10,5,1,23
3,1,76,11,1,2,6,0,61
6,0,20,14,0,8,7,1,5
3,1,43,11,0,8,5,1,28
,0,64,13,0,,3,0,49
8,1,37,19,1,2,8,1,22
7,0,15,11,0,,5,1,0
6,0,40,20,0,6,8,0,25
3,0,56,11,1,,5,0,41
5,1,55,0,1,3,5,1,40
5,0,22,12,0,5,6,0,7
1,1,38,15,0,1,7,1,23
9,1,53,14,0,5,7,1,38
9,1,52,16,1,8,7,0,37
9,0,67,14,1,5,7,1,52
6,1,36,12,0,9,7,0,21
5,0,80,19,0,3,5,0,65
5,0,50,24,1,7,5,0,35
7,0,38,17,0,6,5,1,23
6,0,55,25,0,9,8,1,40
8,1,38,16,0,8,7,0,23
4,1,84,9,1,2,7,1,69
4,0,39,9,1,3,2,1,24
7,0,52,17,0,3,8,1,37
5,1,72,10,1,3,10,1,57
4,1,76,12,1,4,6,1,61
3,0,41,15,1,8,5,1,26
10,0,36,13,0,10,7,1,21
7,1,62,17,0,6,7,1,47
8,0,82,17,0,,10,1,67
5,0,56,15,0,4,4,1,41
2,0,27,13,0,1,0,0,12
